Building IRN,Building Name,District IRN,District Name,County,Street address,City and Zip code,Phone #,Principal,Grade Span,Open/Closed Status,Designation,Number of standards met,Number of standards possible,Enrollment,Attendance 2005-06,Performance Index Score 2005-06
000224,Adlai Stevenson Elementary School,043786,Cleveland Municipal,Cuyahoga,3938 Jo Ann Dr,"Cleveland, Ohio  44122-6441",(216) 751-3443,Jacqueline P. Schuenaman,K-8,Open,Academic Emergency,1,14,319,95.1,63.5
000231,Unioto Elementary,049536,Union-Scioto,Ross,138 Sandusky Blvd,"Chillicothe, Ohio  45601-9432",(740) 773-4103,Karen K. Mercer,K-6,Open,Effective,5,10,1134,94.2,91.8
000232,Adrian Elementary School,044792,South Euclid-Lyndhurst,Cuyahoga,1071 Homestead Rd,"South Euclid, Ohio  44121-3580",(216) 691-2170,Mark D. Woodby,K-4,Open,Effective,4,6,322,96.3,96.3
000233,Lincoln Academy for Boys,044909,Toledo,Lucas,1801 N Detroit Ave,"Toledo, Ohio  43606-4705",(419) 244-5823,Jamie Johnson,K-6,Open,Continuous Improvement,2,10,148,96.5,81.4
000234,Ella P. Stewart Academy for Girls,044909,Toledo,Lucas,124 W Woodruff Ave,"Toledo, Ohio  43624-1236",(419) 671-5350,William Keaton,K-7,Open,Continuous Improvement,1,12,288,95.9,75.2
000235,International College Preparatory Academy,000235,International College Preparatory Academy,,244 Southern Ave,"Cincinnati, Ohio  45219-3023",(513) 241-1141,,K-12,Open,Continuous Improvement,0,14,420,91.2,70.1
000236,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",,2727 Madison Rd,"Cincinnati, Ohio  45209-2276",(513) 533-3230,Raymond M. Lambert,K-9,Open,Continuous Improvement,3,14,768,98.2,81
000240,Aiken Traditional High School,043752,Cincinnati Public Schools,Hamilton,5641 Belmont Ave,"Cincinnati, Ohio  45224-3101",(513) 363-6600,Susan L. Raudabaugh,11-12,Open,Academic Emergency,1,8,243,97.5,55.9
000241,Quaker Digital Academy,044487,New Philadelphia,Tuscarawas,248 Front Ave SW,"New Philadelphia, Ohio  44663-2150",(330) 364-0600,,K-12,Open,Continuous Improvement,4,6,121,100.0,78.1
000242,North Union Elementary School,050336,North Union,Union,420 Grove St,"Richwood, Ohio  43344-9022",(740) 943-3113,Lisa L. Wolfe,"K-5,P",Open,Effective,7,8,690,95.2,94.5
000251,Early Childhood Development,043786,Cleveland Municipal,Cuyahoga,9711 Lamont Ave,"Cleveland, Ohio  44106-4124",,Veda L. Giles,K-3,Open,Academic Emergency,0,3,223,91.8,66.4
000257,Alexander Elementary School,045906,Alexander,Athens,6105 School Road,"Albany, Ohio  45710-9236",(740) 698-8831,Nedra S. Zirkle,"K-5,P",Open,Continuous Improvement,4,8,750,95.2,89.5
000265,Albion Elementary School,044545,North Royalton,Cuyahoga,9360 Albion Rd,"North Royalton, Ohio  44133-1768",(440) 582-9060,Gregory J. Gurka,1-4,Open,Excellent,6,6,367,96.5,106.2
000268,Tiffin City Digital Academy,044891,Tiffin,Seneca,244 S Monroe St,"Tiffin, Ohio  44883-2906",,Jane E. Tomaszewski,K-12,Open,NC,1,1,NC,100.0,88.4
000270,Main Street School,044560,Norwalk,Huron,80 E Main St,"Norwalk, Ohio  44857-1714",,Kirk V. Pavelich,5-6,Open,Effective,3,5,509,94.8,93.5
000273,Alden Elementary School,044990,Warren,Trumbull,350 Loveless Ave SW,"Warren, Ohio  44485-3485",(330) 841-2388,Christine M. Gibowicz,K-4,Open,Effective,4,6,248,95.8,92.6
000277,Scholarts Preparatory School,000277,Scholarts Preparatory School,,400 E Town St Ste G30,"Columbus, Ohio  43215-4755",(614) 224-1610,,5-9,Open,Academic Emergency,0,3,75,89.4,51.2
000281,Alexander Graham Bell Elementary School,043802,Columbus Public Schools,Franklin,1455 Huy Rd,"Columbus, Ohio  43224-3563",(614) 365-5977,John R. Crerand,"K-1,P",Open,NC,0,1,57,92.2,
000282,Warren County Virtual Community School,050468,Wayne,Warren,320 E Silver St,"Lebanon, Ohio  45036-1816",(513) 695-2567,,6-12,Open,Continuous Improvement,5,12,122,100.0,83.8
000287,Auglaize County Special Needs School,000287,Auglaize County Special Needs School,,1130A East Albert St,"Lima, Ohio  45804-1614",(419) 738-3422,,K-12,Open,Effective,0,1,37,91.2,94.3
000288,Auglaize County Educational Academy,000288,Auglaize County Educational Academy,,1130A East Albert St,"Lima, Ohio  45804-1614",(419) 738-4572,,K-12,Open,Continuous Improvement,3,6,55,100.0,73
000291,Malvern Middle School,046177,Brown,Carroll,401 W Main St,"Malvern, Ohio  44644-9482",(330) 863-1355,Douglas M. Schmidt,6-8,Open,Effective,6,7,182,94.6,95.6
000296,Summit Academy Columbus,000296,Summit Academy Columbus,,1855 E Dublin Granville Rd,"Columbus, Ohio  43229-3516",(614) 880-0714,,"1-8,UNG",Open,Academic Emergency,1,8,57,95.1,59.1
000297,Summit Academy Dayton,000297,Summit Academy Dayton,,1407 E 3rd St,"Dayton, Ohio  45403-1818",(937) 223-3154,,"1-8,UNG",Open,Academic Emergency,0,7,61,91.7,47.3
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,,864 E Market St,"Akron, Ohio  44305-2424",(330) 434-2343,,"8-12,UNG",Open,Continuous Improvement,1,6,45,96.6,67.6
000299,Alexander Graham Bell Elementary School,043786,Cleveland Municipal,Cuyahoga,11815 Larchmere Blvd,"Cleveland, Ohio  44120-1132",(216) 229-6966,Amy S. Peck,K-8,Open,Continuous Improvement,1,14,452,92.3,80.3
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,,2400 Cleveland Ave NW,"Canton, Ohio  44709-3613",(330) 453-8547,,"8-12,UNG",Open,Academic Emergency,0,6,28,89.3,63
000301,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,,1949 Broadway,"Lorain, Ohio  44052-3626",(440) 245-5440,,"8-12,UNG",Open,Academic Watch,1,4,31,86.5,70.2
000302,Summit Academy Secondary - Parma,000302,Summit Academy Secondary - Parma,,5868 Stumph Rd,"Parma, Ohio  44130-1736",(440) 888-5407,,"8-12,UNG",Open,NC,0,1,48,89.7,69
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,,1400 Oak Hill Ave,"Youngstown, Ohio  44507-1018",(330) 747-0950,,"8-12,UNG",Open,NC,1,1,46,99.1,64.5
000304,Summit Academy Toledo,000304,Summit Academy Toledo,,703 Phillips Ave,"Toledo, Ohio  43612-1332",(419) 476-7859,,"1-8,UNG",Open,Academic Emergency,1,9,126,93.0,53.5
000305,Summit Academy Warren,000305,Summit Academy Warren,,2106 Arbor Ave SE,"Warren, Ohio  44484-5225",(330) 369-4233,,"1-8,UNG",Open,Academic Emergency,1,6,77,95.9,69
000306,Summit Academy Cincinnati,000306,Summit Academy Cincinnati,,3066 Madison Rd,"Cincinnati, Ohio  45209-1723",(513) 321-0561,,"1-8,UNG",Open,Continuous Improvement,0,1,27,91.7,68.1
000311,Bridges Community Academy,049684,Seneca East,Seneca,190 St Francis Ave,"Tiffin, Ohio  44883-3475",(419) 455-9295,,K-12,Open,Continuous Improvement,5,12,110,96.5,88.9
000315,Alexander High School,045906,Alexander,Athens,6125 School Rd,"Albany, Ohio  45710-8904",(740) 698-8831,Frank J. Doudna,9-12,Open,Effective,11,12,500,94.4,95.5
000316,Westpark Community Middle School,000316,Westpark Community Middle School,,3326 Broadview Rd,"Cleveland, Ohio  44109-3316",,,5-9,Open,NC,0,0,61,--,
000317,Greater Cleveland Academy For Gifted Students,000317,Greater Cleveland Academy For Gifted Students,,3200 W 65th St,"Cleveland, Ohio  44102-5510",(216) 651-5209,Jane L. Hackett,K-9,Open,Excellent,1,1,51,94.5,104.9
000318,Lorain Academy For Gifted Students,000318,Lorain Academy For Gifted Students,,307 W 7th St,"Lorain, Ohio  44052-1813",(440) 244-0855,Stephanie G. Cutlip,K-9,Open,Excellent,6,6,61,95.8,109.8
000319,Madison Community School,000319,Madison Community School,,2015 W 95th St,"Cleveland, Ohio  44102-3727",(216) 651-5212,Kathryn M. Delzani,K-4,Open,Continuous Improvement,2,6,78,93.8,85
000320,Lorain Community Middle School,000320,Lorain Community Middle School,,3326 Broadview Rd,"Cleveland, Ohio  44109-3316",,,5-9,Open,NC,0,0,32,--,
000321,Old Brooklyn Montessori Middle School,000321,Old Brooklyn Montessori Middle School,,4430 State Rd,"Cleveland, Ohio  44109-4705",,,5-9,Open,NC,0,0,24,--,
000323,Northridge Alexandria Elementary School,048033,Northridge,Licking,PO Box 68,"Alexandria, Ohio  43001-0068",(740) 924-2691,Andra J. Kisner,K-5,Open,Excellent,8,8,260,95.8,97
000338,Horizon Science Academy Toledo,000338,Horizon Science Academy Toledo,,425 Jefferson Ave,"Toledo, Ohio  43604-1060",(419) 244-5710,,6-12,Open,Continuous Improvement,7,12,316,95.5,82.2
000342,NovaNet High School,045161,Youngstown,Mahoning,20 W Wood St,"Youngstown, Ohio  44503-1028",(330) 744-6900,Pamela R. Logan,5-12,Open,Excellent,1,1,66,99.5,34.1
000343,Chase Academy for Communication Arts,000343,Chase Academy for Communication Arts,,2283 Sunbury Rd,"Columbus, Ohio  43219-3528",(614) 509-2432,,K-8,Open,Continuous Improvement,1,8,182,95.0,66.5
000345,Elmwood Elementary School,050682,Elmwood,Wood,7650 Jerry City Rd,"Bloomdale, Ohio  44817-9763",(419) 655-2583,Louis A. Kramer,"K-4,P",Open,Effective,5,6,437,96.5,95.6
000348,Palm Elementary School,044263,Lorain,Lorain,3330 Palm Ave,"Lorain, Ohio  44055-2152",(440) 240-1439,Pamela M. Szegedy,K-6,Open,Continuous Improvement,3,10,345,95.0,85.2
000349,Upper Scioto Valley Middle School,047522,Upper Scioto Valley,Hardin,701 N Main St,"McGuffey, Ohio  45859",(419) 757-3231,Craig M. Hurley,6-8,Open,Continuous Improvement,4,7,195,94.4,88.5
000350,Granger Elementary School,048496,Highland,Medina,3940 Ridge Rd,"Medina, Ohio  44256-8618",(330) 239-1901,Linda L. Collins,"K-5,P",Open,Excellent,8,8,505,96.7,104
000351,Ulysses S. Grant Middle School,044339,Marion,Marion,420 Presidential Dr,"Marion, Ohio  43302-5173",,Leslie O. Ryle,6-8,Open,Continuous Improvement,0,7,1187,92.9,82.2
000352,William McKinley Elementary School,044339,Marion,Marion,925 Chatfield Rd,"Marion, Ohio  43302-7110",(740) 223-4600,Fredrick J. Saull,"K-5,P",Open,Academic Watch,1,8,402,94.4,77.2
000356,Allen Elementary School,048942,Genoa Area,Ottawa,4865 N Genoa Clay Center Rd,"Curtice, Ohio  43412-9617",(419) 855-7795,Brenda A. Murphy,3-5,Open,Effective,7,8,326,96.1,95.7
000360,Miamisburg Secondary Digital Academy,044396,Miamisburg,Montgomery,540 Park Ave,"Miamisburg, Ohio  45342-2854",(937) 866-3381,,9-12,Open,NC,0,1,63,88.0,72.1
000362,Betty Jane Learning Center,043489,Akron Public Schools,Summit,33 Dorcas Ave,"Akron, Ohio  44305-4201",(330) 794-4170,J Craig C. Wendt,K-5,Open,Continuous Improvement,0,1,67,91.3,62.9
000363,Akron Alternative Academy,043489,Akron Public Schools,Summit,235 Smith St,"Akron, Ohio  44303-2336",(330) 761-3262,Lawrence D. Weigle,9-12,Open,Continuous Improvement,1,12,345,72.5,63.1
000364,Allen East High School,045757,Allen East,Allen,105 N Washington St,"LaFayette, Ohio  45854",(419) 649-6311,Gary K. Deluca,9-12,Open,Excellent,12,12,317,95.5,99.7
000368,Upper Arlington International Baccalaureate High School,044933,Upper Arlington,Franklin,1650 Ridgeview Rd,"Upper Arlington, Ohio  43221-2962",(614) 487-5200,Kip C. Greenhill,11-12,Open,Excellent,6,6,60,94.5,0
000380,Allen Elementary School,044842,Strongsville,Cuyahoga,16400 Park Lane Dr,"Strongsville, Ohio  44136-6352",(440) 572-7130,Robert T. Clifford,K-6,Open,Excellent,10,10,615,96.4,108.1
000382,Crestwood Primary School,049189,Crestwood,Portage,11256 Bowen Rd,"Mantua, Ohio  44255-9454",(330) 422-3100,Thomas K. Rauber,K-2,Open,NC,1,1,502,96.1,
000383,Crestwood Intermediate School,049189,Crestwood,Portage,11260 Bowen Rd,"Mantua, Ohio  44255-9454",(330) 422-3100,Patricia A. Dimaso,3-5,Open,Effective,6,8,544,96.0,93.3
000384,Chieftain Elementary School,044248,Logan-Hocking,Hocking,28296 Chieftain Dr,"Logan, Ohio  43138-9557",(740) 385-1171,Joshua T. Straus,"K-5,P",Open,Effective,7,8,413,95.4,94.8
000385,Hocking Hills Elementary School,044248,Logan-Hocking,Hocking,19197 State Route 664 S,"Logan, Ohio  43138-9536",(740) 385-7071,Colleen K. Hockman,K-5,Open,Excellent,8,8,265,95.7,99.4
000386,Central Intermediate Elementary School,044248,Logan-Hocking,Hocking,680 W Hunter St,"Logan, Ohio  43138-1109",(740) 385-3092,Andrew E. Potter,"P,4-5",Open,Effective,4,6,170,95.1,93.2
000387,Central Primary Elementary School,044248,Logan-Hocking,Hocking,501 E Main St,"Logan, Ohio  43138-1416",(740) 385-4083,Sharon K. Elder,K-3,Open,Excellent,3,3,275,95.1,99.9
000388,Gateway Elementary School,043810,Conneaut Area,Ashtabula,229 Gateway Av,"Conneaut, Ohio  44030",(440) 593-7280,James C. Lutes,3-5,Open,Effective,3,8,494,95.0,90.4
000389,Lakeshore Primary Elementary School,043810,Conneaut Area,Ashtabula,755 Chestnut St,"Conneaut, Ohio  44030-1448",(440) 593-7250,Ruth I. Farr,K-2,Open,NC,1,1,501,94.7,
000392,Mansfield Enhancement Academy,000392,Mansfield Enhancement Academy,Richland,53 W 4th St,"Mansfield, Ohio  44902-1205",(419) 525-6305,,9-12,Open,NC,0,1,217,90.8,6
000398,Allen Elementary School,043745,Chillicothe,Ross,174 Plyleys Ln,"Chillicothe, Ohio  45601-2006",(740) 774-1119,Jane P. Caine,K-5,Open,Effective,6,8,334,95.2,96.9
000400,Mapleton Elementary School,045831,Mapleton,Ashland,2 Mountie Dr,"Ashland, Ohio  44805",(419) 945-2188,Dean E. Frank,K-5,Open,Excellent,8,8,469,94.7,95.7
000402,Findlay Digital Academy,000402,Findlay Digital Academy,Hancock,1200 Broad Ave,"Findlay, Ohio  45840-2653",(419) 425-3598,Lawrence J. Grove,9-12,Open,NC,0,1,63,58.1,88
000406,Allen Elementary School,043711,Canton,Stark,1326 Sherrick Rd SE,"Canton, Ohio  44707-3531",(330) 453-2782,Rosalind D. Henderson,K-6,Open,Academic Watch,1,10,423,95.5,70.4
000414,Allen Elementary School,043844,Dayton,Montgomery,132 Alaska St,"Dayton, Ohio  45404-1941",(937) 542-4170,Marilyn C. Croker,K-6,Open,Academic Watch,1,10,301,94.1,67.5
000416,Saturn Learning Center High School,043489,Akron Public Schools,Summit,305 Paris Ave,"Akron, Ohio  44301-1174",(330) 761-1725,Gregory A. Kavinsky,6-12,Open,NC,0,0,27,--,
000417,Buckeye On-Line School for Success,000417,Buckeye On-Line School for Success,,519 Broadway St,"East Liverpool, Ohio  43920-3137",(330) 385-1987,,K-12,Open,Academic Watch,0,24,658,91.2,73.7
000418,Greater Heights Academy,000418,Greater Heights Academy,,1970 S Taylor Rd,"Cleveland, Ohio  44118-2100",(216) 320-1720,,K-10,Open,Academic Emergency,0,14,736,92.6,50.9
000420,Vision Into Action Academy,000420,Vision Into Action Academy,,33 N High St Ste 400,"Columbus, Ohio  43215-3076",(614) 324-1492,,"9-12,UNG",Open,Continuous Improvement,0,2,164,64.7,43.8
000426,Lancaster Fairfield Alternative School,044206,Lancaster,Fairfield,320 E Locust St,"Lancaster, Ohio  43130-4437",(740) 687-7177,Jeffrey S. Graf,7-12,Open,Continuous Improvement,3,6,74,96.8,72.3
000427,Arise Academy,000427,Arise Academy,,1 Elizabeth Pl,"Dayton, Ohio  45408-1445",(937) 853-0560,,9-12,Open,Continuous Improvement,2,6,136,98.2,71.6
000429,Jackson Westview Elementary School,044156,Jackson,Jackson,16349 Beaver Pike,"Jackson, Ohio  45640-9005",(740) 286-6442,Deborah W. Biggs,"P,K,1-5,SN",Open,Effective,6,8,478,94.9,93.5
000433,Scholarts Career Center for Children,000433,Scholarts Career Center for Children,,400 E Town St Ste G10,"Columbus, Ohio  43215-4700",(614) 224-1610,,K-4,Closed,NC,--,--,--,--,
000435,East Pilgrim Elementary School,043802,Columbus Public Schools,Franklin,440 Taylor Ave,"Columbus, Ohio  43203-1225",(614) 365-6132,Carol A. Helm,K-5,Open,Academic Emergency,1,8,244,93.5,68.3
000436,Literature Based Alternative @ Hubbard Elementary School,043802,Columbus Public Schools,Franklin,104 W Hubbard Ave,"Columbus, Ohio  43215-6415",(614) 365-5572,Tamar Campbell-Sauer,"K-5,P",Open,Academic Watch,1,8,155,94.1,75.1
000445,General Chappie James Leadership Academy,000445,General Chappie James Leadership Academy,,120 Knox Ave,"Dayton, Ohio  45427-1723",(937) 835-3580,,9-12,Open,Continuous Improvement,0,1,66,78.5,14.7
000448,Allen East Middle School,045757,Allen East,Allen,9520 Harrod Rd,"Harrod, Ohio  45850-9701",(419) 648-3571,Larry D. Altenburger,4-8,Open,Effective,9,12,374,95.2,96.1
000450,Manchester High School,000442,Manchester,Adams,130 Wayne Frye Dr,"Manchester, Ohio  45144-9314",(937) 549-3971,Donald J. Stricklett,7-12,Open,Continuous Improvement,8,16,364,94.4,88.6
000451,Woolard Elementary School,000442,Manchester,Adams,309 E 9th St,"Manchester, Ohio  45144-1315",(937) 549-2623,William R. Nichols,K-6,Open,Continuous Improvement,3,10,482,93.7,88.5
000455,Allensville Elementary School,050393,Vinton County Local,Vinton,57772 Us Highway 50,"Mc Arthur, Ohio  45651-8859",(740) 596-5236,Rick L. Brooks,"P,K,1-6,SN",Open,Continuous Improvement,5,10,417,95.8,87.8
000461,Main Street Automotive Magnet School,000461,Main Street Automotive Magnet School,,PO Box 26231,"Trotwood, Ohio  45426-0231",(937) 222-2725,,7-12,Open,Continuous Improvement,0,1,105,68.3,25.1
000463,Alliance High School,043497,Alliance,Stark,400 Glamorgan St,"Alliance, Ohio  44601-2810",(330) 829-2245,Robert J. Gress,9-12,Open,Effective,6,12,926,93.0,90.5
000467,George Washington Education Center,044107,Hamilton,Butler,5000 Madison Ave,"Hamilton, Ohio  45015-1976",(513) 887-5197,Nancy K. Hulshult,7-12,Open,Academic Watch,3,16,249,80.7,70.7
000470,Independence Elementary School,044222,Lima,Allen,615 Tremont Ave,"Lima, Ohio  45801",(419) 996-3330,Virginia M. Cress,K-4,Open,Continuous Improvement,2,6,457,96.3,87.9
000471,Allison Street,044578,Norwood City School District,Hamilton,4300 Allison St,"Norwood, Ohio  45212-3004",(513) 924-2650,Scott Counts,K-6,Open,Continuous Improvement,5,10,374,94.5,87.2
000472,Liberty Elementary School,044222,Lima,Allen,338 W Kibby St,"Lima, Ohio  45804-1168",(419) 996-3320,David M. Shanks,K-4,Open,Academic Emergency,1,6,382,94.2,67.2
000473,Tech Con Institute,000473,Tech Con Institute,,2075 Shiloh Springs Rd Ste 100,"Dayton, Ohio  45426-2062",(937) 854-4000,,9-12,Open,Continuous Improvement,0,1,44,71.5,49.8
000474,Memorial Park Elementary School,043950,Euclid,Cuyahoga,22800 Fox Ave,"Euclid, Ohio  44123-2068",(216) 732-2700,Ken M. Ferlito,K-5,Open,Continuous Improvement,1,8,374,94.8,80.6
000475,Indian Hills Elementary School,043950,Euclid,Cuyahoga,1941 Sagamore Dr,"Euclid, Ohio  44117-2314",(216) 732-2600,Linda T. Knight,K-5,Open,Academic Watch,2,8,264,95.8,75.1
000481,P.A.C.E. High School,000481,P.A.C.E. High School,,4753 Reading Rd,"Cincinnati, Ohio  45237-6107",(513) 751-7223,,9-12,Open,Academic Emergency,0,12,317,62.4,49.5
000482,Greenon Virtual School,046235,Greenon Local,Clark,500 Enon Xenia Pike,"Enon, Ohio  45323-1759",(937) 864-1202,,3-12,Closed,NC,0,0,--,--,0
000489,Almira Elementary School,043786,Cleveland Municipal,Cuyahoga,3380 W 98th St,"Cleveland, Ohio  44102-4639",(216) 631-0714,Gretchen W. Liggens,K-8,Open,Academic Watch,1,14,553,90.5,76.6
000491,Bowman Primary School,044214,Lebanon,Warren,825 Hart Rd.,"Lebanon, Ohio  45036",(513) 934-5800,Sara M. Weisgerber,1-2,Open,NC,1,1,817,95.6,70
